term,count,bucket
gun,296,tp
rights,102,tp
mirror,72,tp
control,65,tp
primary_policy_domain,64,tp
mirror_shift_direction,62,tp
guns,57,tp
criticized_actor_type,57,tp
right,55,tp
laws,49,tp
anti,49,tp
climate,45,tp
trump,44,tp
nra,42,tp
normative_moral_language,40,tp
amendment,40,tp
you,39,tp
policy,39,tp
carry,39,tp
law,37,tp
political,35,tp
second,35,tp
wing,34,tp
about,34,tp
people,34,tp
all,34,tp
gop,34,tp
left,33,tp
shifts,32,tp
causal_claim_present,32,tp
original,32,tp
pro,31,tp
ridicule_or_mockery,29,tp
critique,29,tp
children,29,tp
have,29,tp
reform,28,tp
maga,28,tp
profanity_or_taboo_language,27,tp
open,27,tp
ban,27,tp
republicans,27,tp
safety,24,tp
informal_register_or_slang,23,tp
policy_prescription_present,23,tp
blame,23,tp
emphatic_outrage,23,tp
why,22,tp
national,22,tp
republican,22,tp
we,22,tp
deaths,22,tp
geographic_scope,21,tp
factual_assertion_vs_speculation,21,tp
framing,20,tp
green,20,tp
black,20,tp
opponents,20,tp
child,20,tp
school,20,tp
culture_war_topic_salience,19,tp
framed,19,tp
media,19,tp
specific_event_or_bill_reference,19,tp
kids,19,tp
radical,19,tp
approximate_token_length_band,19,tp
named_proper_nouns_density,18,tp
can,18,tp
list_or_enumeration,18,tp
victimhood_or_persecution_framing,18,tp
public,18,tp
democrats,18,tp
shooting,18,tp
uses,18,tp
if,17,tp
they,17,tp
all_caps_emphasis,17,tp
moral,17,tp
violence,17,tp
white,17,tp
their,17,tp
flag,17,tp
criticizes,17,tp
left_right_directional_cue,16,tp
but,16,tp
democracy,16,tp
warming,16,tp
citizens,16,tp
background,16,tp
persuasion_or_argumentation,15,tp
threat,15,tp
profanity,15,tp
science,15,tp
every,15,tp
abortion,15,tp
red,15,tp
usa,14,tp
mocks,14,tp
advocates,14,tp
rhetorical_question,14,tp
question,14,tp
trans,14,tp
your,14,tp
denial,14,tp
women,14,tp
call_to_action,14,tp
politics,14,tp
policies,14,tp
americans,13,tp
so,13,tp
criticizing,13,tp
fossil,13,tp
argument,13,tp
state,13,tp
like,13,tp
repeated,13,tp
claim,13,tp
against,13,tp
gender,13,tp
should,13,tp
global,13,tp
victims,13,tp
don,13,tp
his,13,tp
quote_or_attribution_embedding,13,tp
claims,13,tp
checks,13,tp
need,12,tp
energy,12,tp
short,12,tp
caps,12,tp
self,12,tp
keep,12,tp
reference,12,tp
disinformation,12,tp
over,12,tp
more,12,tp
insult,12,tp
will,12,tp
want,12,tp
frames,12,tp
informal,11,tp
rhetorical,11,tp
australia,11,tp
would,11,tp
emphasis,11,tp
these,11,tp
dangerous,11,tp
abiding,11,tp
out,11,tp
contrast,11,tp
who,11,tp
references,11,tp
after,11,tp
concealed,11,tp
group,11,tp
democratic,11,tp
condemnation,11,tp
our,11,tp
stop,11,tp
firearm,11,tp
direct,10,tp
uk,10,tp
think,10,tp
states,10,tp
venting_or_expressive,10,tp
sarcasm_or_irony,10,tp
identity,10,tp
use,10,tp
shootings,10,tp
conservatives,10,tp
armed,10,tp
because,10,tp
biden,10,tp
than,10,tp
do,10,tp
kill,10,tp
government,9,tp
rhetoric,9,tp
aligned,9,tp
us,9,tp
asserts,9,tp
total,9,tp
anaphora_or_parallelism,9,tp
only,9,tp
contrastive_but_however_structure,9,tp
sarcastic,9,tp
hypocrisy,9,tp
named,9,tp
support,9,tp
interlocutor,9,tp
defense,9,tp
border,9,tp
charlie,9,tp
kirk,9,tp
supporters,9,tp
versus,9,tp
mass,9,tp
targets,9,tp
quoted,9,tp
never,9,tp
fuck,9,tp
ballroom,9,tp
shit,9,tp
might,9,tp
medium,9,tp
vote,9,tp
multiple,8,tp
actors,8,tp
choice,8,tp
just,8,tp
american,8,tp
many,8,tp
new,8,tp
deal,8,tp
back,8,tp
emphatic,8,tp
outrage,8,tp
used,8,tp
person,8,tp
clause,8,tp
party,8,tp
democrat,8,tp
list,8,tp
what,8,tp
argues,8,tp
fucking,8,tp
really,8,tp
klan,8,tp
us_vs_them_framing,8,tp
own,8,tp
elections,8,tp
damn,8,tp
still,8,tp
life,8,tp
covid,8,tp
ideology,8,tp
reciprocity,8,tp
ppl,8,tp
judicial,8,tp
access,8,tp
proper,7,tp
phrasing,7,tp
second_person_direct_address,7,tp
push,7,tp
directed,7,tp
derogatory,7,tp
caused,7,tp
woke,7,tp
up,7,tp
sad,7,tp
partisan,7,tp
war,7,tp
my,7,tp
liberal,7,tp
soros,7,tp
survival,7,tp
take,7,tp
them,7,tp
away,7,tp
leftists,7,tp
taboo,7,tp
voters,7,tp
figure,7,tp
followers,7,tp
constitutional,7,tp
yeah,7,tp
fuckers,7,tp
alarmists,7,tp
progressive,7,tp
simplify,7,tp
one,7,tp
style,7,tp
politician,7,tp
australians,7,tp
candidate,7,tp
has,7,tp
world,7,tp
lobby,7,tp
greatest,7,tp
ai,7,tp
studies,7,tp
extreme,7,tp
manufacturers,7,tp
yanks,6,tp
domestic,6,tp
those,6,tp
slang,6,tp
funded,6,tp
globalist,6,tp
customers,6,tp
between,6,tp
conditional_if_then_structure,6,tp
how,6,tp
allowed,6,tp
high_punctuation_intensity,6,tp
culture,6,tp
linked,6,tp
bringing,6,tp
strong,6,tp
infrastructure,6,tp
labels,6,tp
race,6,tp
now,6,tp
humanity,6,tp
russian,6,tp
conspiratorial_framing,6,tp
long,6,tp
die,6,tp
legal,6,tp
dead,6,tp
condemns,6,tp
insults,6,tp
angry,6,tp
weapons,6,tp
let,6,tp
ownership,6,tp
associated,6,tp
expressive,6,tp
statement,6,tp
ass,6,tp
nudifying,6,tp
priorities,6,tp
change,6,tp
capitalized,6,tp
conservative,6,tp
david,6,tp
hogg,6,tp
me,6,tp
stance,6,tp
nonvoters,6,tp
saved,6,tp
actions,6,tp
visibly,6,tp
restrictions,6,tp
useless,6,tp
legislation,6,tp
judges,6,tp
explicit,6,tp
behavior,6,tp
creationists,6,tp
blaming,6,tp
magats,6,tp
line,5,tp
trumpist,5,tp
international,5,tp
negative,5,tp
opposition,5,tp
fuel,5,tp
hell,5,tp
frustration,5,tp
disaster,5,tp
coal,5,tp
comparison,5,tp
phrase,5,tp
shooter,5,tp
before,5,tp
where,5,tp
truth,5,tp
earth,5,tp
maybe,5,tp
some,5,tp
too,5,tp
year,5,tp
