uri,url,author_handle,text,created_at,like_count,repost_count,reply_count,quote_count,news_or_opinion_category,is_political,is_likely_spam,is_self_contained,is_structurally_complete,toxicity_prob,toxicity_tier,political_stance
at://did:plc:fllkwj5ain5kdfkr3de7yxbd/app.bsky.feed.post/3mu5scumvhs2w,https://bsky.app/profile/commoner.bsky.social/post/3mu5scumvhs2w,commoner.bsky.social,"I learnt about climate change as a young man in the 80s, and the window of opportunity to transition. Often in the news. Campaigns focused on reducing/reusing as essential features.
I naively thought we would change.
But 'reduce' was quietly dropped, (anti-growth), and we have blown past the window.",2026-08-28 16:37:32.099000+00:00,1,0,1,0,opinion,True,False,True,True,0.020842785,low,left
at://did:plc:uqrfc7gu5tptozetpvustimk/app.bsky.feed.post/3mu5s3h6ssc2k,https://bsky.app/profile/eliemar.bsky.social/post/3mu5s3h6ssc2k,eliemar.bsky.social,"America we must act like Hungary who kicked out their Fascist leader friend of rapist Trump & his corrupt bootliking Republicans

Vote💙 #usa

ALL Democrats for
Lower Costs
Affordable Housing
Higher Wages
Free Health-Child Care
Free Tuition
Science
Climate Change 
GUN CONTROL 
No to School Shootings",2026-08-28 16:33:23.125000+00:00,0,0,0,0,opinion,True,False,True,True,0.5532103,medium,left
at://did:plc:uqrfc7gu5tptozetpvustimk/app.bsky.feed.post/3mu5s2dj7kc2k,https://bsky.app/profile/eliemar.bsky.social/post/3mu5s2dj7kc2k,eliemar.bsky.social,"America we have a CORRUPT Trump/Republican regime whose economy is UNAFFORDABLE

Republicans/Trump have proven they serve OLIGARCHS

Democrats for WORKERS
Lower Costs
Affordable Housing
Higher Wages
Free Health-Child Care
Free Tuition
Science
Climate Change
GUN CONTROL
No to School Shootings #usa",2026-08-28 16:32:45.717000+00:00,0,0,0,0,opinion,True,False,True,True,0.40336934,medium,left
at://did:plc:uqrfc7gu5tptozetpvustimk/app.bsky.feed.post/3mu5rzpoa7k2k,https://bsky.app/profile/eliemar.bsky.social/post/3mu5rzpoa7k2k,eliemar.bsky.social,"America we must act like Hungary who kicked out their Fascist leader friend of rapist Trump & his corrupt bootliking Republicans

Vote💙 #usa

ALL Democrats for
Lower Costs
Affordable Housing
Higher Wages
Free Health-Child Care
Free Tuition
Science
Climate Change 
GUN CONTROL 
No to School Shootings",2026-08-28 16:32:24.911000+00:00,0,0,0,0,opinion,True,False,True,True,0.5532103,medium,left
at://did:plc:uqrfc7gu5tptozetpvustimk/app.bsky.feed.post/3mu5rrkdyg22k,https://bsky.app/profile/eliemar.bsky.social/post/3mu5rrkdyg22k,eliemar.bsky.social,"America we must act like Hungary who kicked out their Fascist leader friend of rapist Trump & his corrupt bootliking Republicans

Vote💙 #usa

ALL Democrats for
Lower Costs
Affordable Housing
Higher Wages
Free Health-Child Care
Free Tuition
Science
Climate Change 
GUN CONTROL 
No to School Shootings",2026-08-28 16:27:50.893000+00:00,0,0,0,0,opinion,True,False,True,True,0.5532103,medium,left
at://did:plc:6hdxydx5glmxqkkcely3uwin/app.bsky.feed.post/3mu5qhmfcfk2f,https://bsky.app/profile/josiegirl52.bsky.social/post/3mu5qhmfcfk2f,josiegirl52.bsky.social,Minnesotans please remember Lisa Demuth has been the speaker. She did nothing on fraud or gun control. She’s just another T rump republican in my opinion. We need to vote for Amy K. Who has always worked hard for MN,2026-08-28 16:04:23.750000+00:00,0,0,0,0,opinion,True,False,True,True,0.08479069,low,left
at://did:plc:3szwv4jlrh2mf32nxfo2djnf/app.bsky.feed.post/3mu5ph7tnos2y,https://bsky.app/profile/indoeurocreolenero.bsky.social/post/3mu5ph7tnos2y,indoeurocreolenero.bsky.social,"🇵🇸End Genocide In Gaza/Palestine
🇮🇱End Israel's apartheid occupation
🔫Gun Control
⚖️Preserve Checks and Balances
🤖Regulate Artificial Intelligence (AI)
🖥️Regulate Data Centers
🏦Tax Wealth (To Pay For Social Security)

Vote Patrick Roath! #MA08 #Vote",2026-08-28 15:46:16.847000+00:00,0,0,0,0,opinion,True,False,True,True,0.09828771,low,left
at://did:plc:2wgayvrieulxusguaz2ba3xr/app.bsky.feed.post/3mu5mskxnyk2m,https://bsky.app/profile/sc0matth.bsky.social/post/3mu5mskxnyk2m,sc0matth.bsky.social,"It’s not real life. It’s real life but you can go on a mass shooting and get away with it. Which is only real life in America, while the rest of the Western world practices responsible gun control.",2026-08-28 14:58:56.387000+00:00,1,0,0,0,opinion,True,False,True,True,0.2854971,medium,left
at://did:plc:fkk62nhf7ydvf6wipkwihiq5/app.bsky.feed.post/3mu5mkvfxpc2f,https://bsky.app/profile/pianomover.bsky.social/post/3mu5mkvfxpc2f,pianomover.bsky.social,We need to treat these incursions into public lands the same way the NRA treats any suggestion of gun control. Give absolutely no quarter.,2026-08-28 14:54:38.903000+00:00,19,1,0,0,opinion,True,False,True,True,0.039935954,low,right
at://did:plc:jo4wb27jnf5e4fh252daxzgx/app.bsky.feed.post/3mu5mddydy227,https://bsky.app/profile/realx22report.bsky.social/post/3mu5mddydy227,realx22report.bsky.social,"The cabal’s gun-control strategy depends on fear.

Show every tragedy.

Hide every defensive use.

Convince Americans that surrendering their rights will make them safer.

Fear shuts down logical thinking

Present both sides—and the deep state’s narrative begins to collapse.",2026-08-28 14:50:25.753000+00:00,0,0,0,0,opinion,True,False,True,True,0.04686289,low,right
