term,count,bucket
gun,188,tn
mirror,107,tn
primary_policy_domain,64,tn
policy,64,tn
mirror_shift_direction,58,tn
guns,57,tn
violence,52,tn
approximate_token_length_band,45,tn
energy,40,tn
original,40,tn
criticized_actor_type,38,tn
laws,38,tn
climate,37,tn
political,35,tn
causal_claim_present,33,tn
persuasion_or_argumentation,33,tn
about,31,tn
firearm,30,tn
us,29,tn
you,29,tn
normative_moral_language,28,tn
policy_prescription_present,27,tn
fossil,27,tn
right,27,tn
shifts,27,tn
green,26,tn
all,25,tn
geographic_scope,24,tn
control,24,tn
medium,23,tn
people,23,tn
reform,23,tn
safety,22,tn
party,22,tn
rights,22,tn
assault,22,tn
named_proper_nouns_density,21,tn
but,21,tn
second,21,tn
public,21,tn
law,21,tn
if,21,tn
regulation,20,tn
we,20,tn
amendment,20,tn
factual_assertion_vs_speculation,20,tn
policies,20,tn
carry,20,tn
carbon,19,tn
short,19,tn
weapon,19,tn
claims,19,tn
flag,19,tn
more,19,tn
emissions,18,tn
named,18,tn
left,18,tn
don,18,tn
bans,17,tn
red,17,tn
frames,16,tn
framing,16,tn
democrats,16,tn
new,16,tn
anti,15,tn
contrastive_but_however_structure,15,tn
victimhood_or_persecution_framing,15,tn
informal_register_or_slang,15,tn
do,15,tn
list_or_enumeration,15,tn
self,15,tn
biden,15,tn
national,14,tn
pro,14,tn
quote_or_attribution_embedding,14,tn
state,14,tn
trump,14,tn
one,13,tn
partisan,13,tn
explicit,13,tn
legal,13,tn
checks,13,tn
want,13,tn
argument,13,tn
fuel,13,tn
fuels,13,tn
canada,12,tn
economic_cost_benefit_framing,12,tn
government,12,tn
renewable,12,tn
multiple,12,tn
left_right_directional_cue,12,tn
claim,12,tn
endorsement,12,tn
vote,12,tn
defense,12,tn
list,12,tn
id,12,tn
deal,12,tn
think,12,tn
like,12,tn
less,12,tn
real,11,tn
all_caps_emphasis,11,tn
election,11,tn
specific_event_or_bill_reference,11,tn
states,11,tn
protect,11,tn
actors,11,tn
against,11,tn
emphasis,11,tn
work,11,tn
they,11,tn
agenda,11,tn
action,10,tn
healthcare,10,tn
argues,10,tn
candidate,10,tn
strong,10,tn
call_to_action,10,tn
uses,10,tn
citizens,10,tn
contrasts,10,tn
after,10,tn
should,10,tn
act,10,tn
movement,10,tn
deregulation,10,tn
open,10,tn
prevention,10,tn
enforcement,10,tn
money,10,tn
capitalism,10,tn
ideological,9,tn
under,9,tn
opposing,9,tn
contrast,9,tn
out,9,tn
framed,9,tn
he,9,tn
moral,9,tn
so,9,tn
republican,9,tn
blame,9,tn
weapons,9,tn
hedging_or_qualification,9,tn
critique,9,tn
reduce,9,tn
ridicule_or_mockery,9,tn
background,9,tn
long,9,tn
mass,9,tn
can,9,tn
emphatic_outrage,9,tn
economic,9,tn
have,9,tn
voter,9,tn
than,9,tn
our,9,tn
environmental,9,tn
big,9,tn
system,9,tn
virginia,9,tn
criminals,9,tn
narratives,9,tn
has,8,tn
around,8,tn
regulations,8,tn
comparative,8,tn
international,8,tn
using,8,tn
americans,8,tn
shouldn,8,tn
how,8,tn
protection,8,tn
question,8,tn
need,8,tn
take,8,tn
abiding,8,tn
storage,8,tn
venting_or_expressive,8,tn
communities,8,tn
politicians,8,tn
platform,8,tn
free,8,tn
corporations,8,tn
culture_war_topic_salience,7,tn
caps,7,tn
let,7,tn
advocacy,7,tn
my,7,tn
executed,7,tn
constitutional,7,tn
united,7,tn
danger,7,tn
rhetorical_question,7,tn
rhetorical,7,tn
high_punctuation_intensity,7,tn
asserts,7,tn
up,7,tn
nothing,7,tn
owners,7,tn
measures,7,tn
dealers,7,tn
american,7,tn
president,7,tn
economy,7,tn
responsibility,7,tn
social,7,tn
radical,7,tn
negative,7,tn
support,7,tn
owner,7,tn
expresses,7,tn
families,7,tn
crisis,7,tn
republicans,7,tn
custodian,7,tn
wing,7,tn
women,7,tn
renewables,6,tn
wind,6,tn
responsible,6,tn
references,6,tn
over,6,tn
outgroup,6,tn
voting,6,tn
get,6,tn
contains,6,tn
arms,6,tn
armed,6,tn
victims,6,tn
anaphora_or_parallelism,6,tn
regulatory,6,tn
group,6,tn
crime,6,tn
there,6,tn
conditional_if_then_structure,6,tn
then,6,tn
would,6,tn
shootings,6,tn
only,6,tn
other,6,tn
versus,6,tn
capitalized,6,tn
politics,6,tn
force,6,tn
your,6,tn
texas,6,tn
lists,6,tn
ice,6,tn
them,6,tn
condemnation,6,tn
their,6,tn
why,6,tn
legislature,6,tn
fails,6,tn
future,6,tn
issues,6,tn
consumption,6,tn
medicare,6,tn
kind,5,tn
politician,5,tn
proper,5,tn
rightwing,5,tn
domestic,5,tn
authoritarianism,5,tn
time,5,tn
ideology,5,tn
attributed,5,tn
person,5,tn
day,5,tn
will,5,tn
never,5,tn
down,5,tn
praised_actor_type,5,tn
campaign,5,tn
factual,5,tn
defending,5,tn
bullet,5,tn
informal,5,tn
conversational,5,tn
phrasing,5,tn
who,5,tn
across,5,tn
funding,5,tn
implied,5,tn
us_state,5,tn
attributes,5,tn
kill,5,tn
qualified,5,tn
stop,5,tn
just,5,tn
sense,5,tn
waiting,5,tn
periods,5,tn
already,5,tn
negligence,5,tn
prosecute,5,tn
actions,5,tn
style,5,tn
outside,5,tn
angry,5,tn
opposition,5,tn
what,5,tn
war,5,tn
emphatic,5,tn
position,5,tn
tldr,5,tn
reference,5,tn
reforms,5,tn
well,5,tn
oil,5,tn
going,5,tn
myself,5,tn
elections,5,tn
too,5,tn
am,5,tn
some,5,tn
carrying,5,tn
ownership,5,tn
blames,5,tn
citizen,5,tn
second_person_direct_address,5,tn
know,5,tn
caucus,5,tn
family,5,tn
reduction,5,tn
mental,5,tn
health,5,tn
casual,5,tn
lands,5,tn
change,5,tn
programs,5,tn
spending,5,tn
corporate,5,tn
transition,5,tn
marginalized,5,tn
socialism,5,tn
crooked,5,tn
reduced,5,tn
palestine,5,tn
target,4,tn
solar,4,tn
behavior,4,tn
embedded,4,tn
abortion,4,tn
positive,4,tn
bear,4,tn
assertion,4,tn
holstered,4,tn
everyone,4,tn
two,4,tn
sentence,4,tn
here,4,tn
preferred,4,tn
ballroom,4,tn
elite_vs_populist_framing,4,tn
illegalize,4,tn
admin,4,tn
statement,4,tn
york,4,tn
quoted,4,tn
mag,4,tn
cap,4,tn
repeated,4,tn
mandatory,4,tn
country,4,tn
now,4,tn
solutions,4,tn
ve,4,tn
shooting,4,tn
prosecution,4,tn
allow,4,tn
overreach,4,tn
emoji,4,tn
infrastructure,4,tn
presidential,4,tn
evaluates,4,tn
another,4,tn
failures,4,tn
bullshit,4,tn
integrity,4,tn
keep,4,tn
figures,4,tn
donor,4,tn
exclamation,4,tn
issue,4,tn
much,4,tn
plus,4,tn
development,4,tn
existing,4,tn
endorses,4,tn
industry,4,tn
tool,4,tn
ccs,4,tn
framework,4,tn
california,4,tn
supports,4,tn
cause,4,tn
direct,4,tn
voters,4,tn
event,4,tn
immigration,4,tn
guy,4,tn
things,4,tn
great,4,tn
speaker,4,tn
america,4,tn
scream,4,tn
normal,4,tn
calls,4,tn
collective,4,tn
urges,4,tn
address,4,tn
critiques,4,tn
his,4,tn
him,4,tn
vra,4,tn
progressive,4,tn
positions,4,tn
destroyed,4,tn
appeal,4,tn
disarmament,4,tn
deeply,4,tn
mixed,4,tn
little,4,tn
drugs,4,tn
conservative,4,tn
own,4,tn
china,4,tn
priorities,4,tn
m4a,4,tn
roe,4,tn
codification,4,tn
student,4,tn
andrew,4,tn
leave,4,tn
yet,4,tn
rich,4,tn
funded,4,tn
black,4,tn
youth,4,tn
generations,4,tn
won,4,tn
wonks,4,tn
accessible,4,tn
necessary,3,tn
nuclear,3,tn
while,3,tn
killing,3,tn
consumer,3,tn
comparison,3,tn
hungary,3,tn
conflict,3,tn
quotation,3,tn
phrases,3,tn
complete,3,tn
total,3,tn
may,3,tn
siege,3,tn
dangerous,3,tn
generalization,3,tn
advocates,3,tn
instead,3,tn
individual,3,tn
trying,3,tn
clauses,3,tn
policing,3,tn
said,3,tn
care,3,tn
definition,3,tn
made,3,tn
these,3,tn
firearms,3,tn
10,3,tn
round,3,tn
bayonet,3,tn
lug,3,tn
ny,3,tn
heavily,3,tn
regulated,3,tn
portrayed,3,tn
common,3,tn
qualifies,3,tn
reasoning,3,tn
through,3,tn
even,3,tn
harm,3,tn
unfairly,3,tn
stance,3,tn
mocks,3,tn
enough,3,tn
consequences,3,tn
depending,3,tn
version,3,tn
toward,3,tn
conspiratorial_framing,3,tn
complaint,3,tn
anger,3,tn
foreign,3,tn
rescue,3,tn
plan,3,tn
safer,3,tn
racist,3,tn
concealed,3,tn
crying,3,tn
suddenly,3,tn
democratic,3,tn
parties,3,tn
non,3,tn
aoc,3,tn
pelosi,3,tn
did,3,tn
anything,3,tn
better,3,tn
needs,3,tn
manufacturers,3,tn
accountability,3,tn
slogan,3,tn
grey,3,tn
eco,3,tn
activists,3,tn
maybe,3,tn
defend,3,tn
themselves,3,tn
restrictions,3,tn
oversight,3,tn
zoe,3,tn
weissman,3,tn
praise,3,tn
harmful,3,tn
example,3,tn
several,3,tn
labels,3,tn
production,3,tn
cooperation,3,tn
trust,3,tn
fighting,3,tn
personal,3,tn
commitment,3,tn
grabs,3,tn
items,3,tn
agencies,3,tn
names,3,tn
reason,3,tn
intimidation,3,tn
insane,3,tn
defenseless,3,tn
ban,3,tn
values,3,tn
countries,3,tn
operate,3,tn
us_vs_them_framing,3,tn
nsafe,3,tn
nbackground,3,tn
commentators,3,tn
separated,3,tn
pistol,3,tn
hypocrisy,3,tn
military,3,tn
abnormal,3,tn
demonized,3,tn
standing,3,tn
way,3,tn
lethal,3,tn
folks,3,tn
quotes,3,tn
proud,3,tn
steyer,3,tn
wealthy,3,tn
higher,3,tn
min,3,tn
wage,3,tn
dem,3,tn
border,3,tn
former,3,tn
every,3,tn
destruction,3,tn
condition,3,tn
cannot,3,tn
platner,3,tn
banning,3,tn
describes,3,tn
2026,3,tn
demand,3,tn
children,3,tn
restraining,3,tn
order,3,tn
intervention,3,tn
enforced,3,tn
liberal,3,tn
billionaires,3,tn
teddy,3,tn
roosevelt,3,tn
attacks,3,tn
push,3,tn
data,3,tn
hashtags,3,tn
permanent,3,tn
loan,3,tn
cancellation,3,tn
ds,3,tn
criticizes,3,tn
agreement,3,tn
paris,3,tn
large,3,tn
emotional,3,tn
outcome,3,tn
utter,3,tn
character,3,tn
uncontested,3,tn
uvalde,3,tn
pass,3,tn
assertive,3,tn
characterization,3,tn
construction,3,tn
adding,3,tn
congress,3,tn
ignoring,3,tn
billionairessuck,3,tn
tho,3,tn
means,3,tn
sarcasm_or_irony,3,tn
feel,3,tn
crusades,3,tn
jury,3,tn
effectively,3,tn
prescriptions,3,tn
consultants,3,tn
suspicion,3,tn
pretty,3,tn
good,3,tn
pollution,3,tn
greenhouse,3,tn
gases,3,tn
story,3,tn
options,3,tn
perhaps,3,tn
project,3,tn
2029,3,tn
israel,3,tn
abolish,3,tn
path,2,tn
achieving,2,tn
any,2,tn
presented,2,tn
targets,2,tn
affordable,2,tn
reliable,2,tn
crusade,2,tn
nouns,2,tn
governance,2,tn
involving,2,tn
orban,2,tn
themes,2,tn
side,2,tn
stupid,2,tn
aligned,2,tn
current,2,tn
paraphrase,2,tn
lloyd,2,tn
organization,2,tn
reproductive,2,tn
tuesday,2,tn
19th,2,tn
language,2,tn
candidates,2,tn
condemns,2,tn
activity,2,tn
argue,2,tn
normative,2,tn
followed,2,tn
idea,2,tn
protecting,2,tn
elite,2,tn
marks,2,tn
accessory,2,tn
historical,2,tn
facts,2,tn
happened,2,tn
examples,2,tn
challenge,2,tn
paraphrased,2,tn
administration,2,tn
democrat,2,tn
cues,2,tn
blaming,2,tn
police,2,tn
based,2,tn
cosmetic,2,tn
designed,2,tn
bad,2,tn
arguments,2,tn
abbreviated,2,tn
slang,2,tn
such,2,tn
local,2,tn
absolutely,2,tn
burdened,2,tn
absurd,2,tn
regulators,2,tn
backgrounds,2,tn
solution,2,tn
continued,2,tn
solved,2,tn
discussion,2,tn
feasibility,2,tn
specific,2,tn
despite,2,tn
proposed,2,tn
prescription,2,tn
pushed,2,tn
kid,2,tn
wouldn,2,tn
negligent,2,tn
absent,2,tn
explicitly,2,tn
presents,2,tn
re,2,tn
preventive,2,tn
owning,2,tn
parents,2,tn
bureaucrats,2,tn
endorsing,2,tn
