post_id,confusion_bucket,category,feature_name,feature_value,is_open_ended,confidence,evidence_span,rationale,llm_model,chunk_idx,batch_id,call_timestamp
bluesky_055f53182d705b94e0b101d9ca4716102833a64d55eb5e6571046b03d2c4bb2d,tn,surface_lexical,approximate_token_length_band,short,False,0.94,We don’t talk enough about open carry states,The post is a brief single-sentence comment in both original and mirror.,gpt-5.5,2,tn/batch_0002,2026-07-16T04:34:26.953905+00:00
bluesky_055f53182d705b94e0b101d9ca4716102833a64d55eb5e6571046b03d2c4bb2d,tn,topic_subject,primary_policy_domain,guns / public carry policy,False,0.98,open carry states,The text centers on open carry and gun-free zones.,gpt-5.5,2,tn/batch_0002,2026-07-16T04:34:26.953905+00:00
bluesky_055f53182d705b94e0b101d9ca4716102833a64d55eb5e6571046b03d2c4bb2d,tn,topic_subject,geographic_scope,US_state,False,0.9,states,The original explicitly refers to state-level gun policy.,gpt-5.5,2,tn/batch_0002,2026-07-16T04:34:26.953905+00:00
bluesky_055f53182d705b94e0b101d9ca4716102833a64d55eb5e6571046b03d2c4bb2d,tn,semantic_content,normative_moral_language,characterizes open carry as abnormal; mirror characterizes gun bans as dangerous,False,0.92,this abnormal thing,The wording evaluates the policy practice as abnormal or dangerous.,gpt-5.5,2,tn/batch_0002,2026-07-16T04:34:26.953905+00:00
bluesky_055f53182d705b94e0b101d9ca4716102833a64d55eb5e6571046b03d2c4bb2d,tn,pragmatics_intent,persuasion_or_argumentation,argues that the necessity of the policy is unclear,False,0.88,you don’t know why it’s necessary,The post advances a critical argument about the justification for the policy.,gpt-5.5,2,tn/batch_0002,2026-07-16T04:34:26.953905+00:00
bluesky_055f53182d705b94e0b101d9ca4716102833a64d55eb5e6571046b03d2c4bb2d,tn,compositional_syntax,second_person_direct_address,uses second-person address,False,0.9,you don’t know why,The statement directly addresses a generalized 'you.',gpt-5.5,2,tn/batch_0002,2026-07-16T04:34:26.953905+00:00
bluesky_055f53182d705b94e0b101d9ca4716102833a64d55eb5e6571046b03d2c4bb2d,tn,target_directionality,mirror_shift_direction,original critiques open carry; mirror critiques gun-free zones / gun bans,False,0.94,open carry states,The mirror redirects the criticism from permissive carry policy to restrictive gun policy.,gpt-5.5,2,tn/batch_0002,2026-07-16T04:34:26.953905+00:00
bluesky_057a5c326ec36202fa592d4f499d89a7cb2894328f46b43f83cbb02d1e0ea995,tn,surface_lexical,approximate_token_length_band,medium,False,0.93,Steyer already has his blood money,The post consists of several clauses but is not lengthy.,gpt-5.5,2,tn/batch_0002,2026-07-16T04:34:26.953905+00:00
bluesky_057a5c326ec36202fa592d4f499d89a7cb2894328f46b43f83cbb02d1e0ea995,tn,surface_lexical,named_proper_nouns_density,contains named political figures in original and mirror,False,0.9,Steyer,The original names Steyer and the mirror names Biden.,gpt-5.5,2,tn/batch_0002,2026-07-16T04:34:26.953905+00:00
bluesky_057a5c326ec36202fa592d4f499d89a7cb2894328f46b43f83cbb02d1e0ea995,tn,topic_subject,primary_policy_domain,climate / energy,False,0.93,fossil fuels,"The post discusses fossil fuels, coal, green energy, and climate-related money.",gpt-5.5,2,tn/batch_0002,2026-07-16T04:34:26.953905+00:00
bluesky_057a5c326ec36202fa592d4f499d89a7cb2894328f46b43f83cbb02d1e0ea995,tn,semantic_content,economic_cost_benefit_framing,wealth and donor-money conflict-of-interest framing,False,0.9,made billions on coal,"The criticism is grounded in money, billions, donor money, and self-interest.",gpt-5.5,2,tn/batch_0002,2026-07-16T04:34:26.953905+00:00
bluesky_057a5c326ec36202fa592d4f499d89a7cb2894328f46b43f83cbb02d1e0ea995,tn,semantic_content,normative_moral_language,expresses distrust and moral condemnation,False,0.94,I can't trust someone,The speaker frames the person as untrustworthy because of money sources.,gpt-5.5,2,tn/batch_0002,2026-07-16T04:34:26.953905+00:00
bluesky_057a5c326ec36202fa592d4f499d89a7cb2894328f46b43f83cbb02d1e0ea995,tn,semantic_content,causal_claim_present,claims financial incentives may drive harmful conduct,False,0.89,what's best for him at the expense of everyone else,The post asserts a relationship between personal enrichment and public harm.,gpt-5.5,2,tn/batch_0002,2026-07-16T04:34:26.953905+00:00
bluesky_057a5c326ec36202fa592d4f499d89a7cb2894328f46b43f83cbb02d1e0ea995,tn,pragmatics_intent,hedging_or_qualification,explicit uncertainty about future actions,False,0.95,I don't know if he's going to,The speaker qualifies the accusation with 'I don't know if.',gpt-5.5,2,tn/batch_0002,2026-07-16T04:34:26.953905+00:00
bluesky_057a5c326ec36202fa592d4f499d89a7cb2894328f46b43f83cbb02d1e0ea995,tn,target_directionality,criticized_actor_type,politician or wealthy political figure,False,0.91,Steyer,The post criticizes named political figures for alleged moneyed interests.,gpt-5.5,2,tn/batch_0002,2026-07-16T04:34:26.953905+00:00
