post_id,confusion_bucket,category,feature_name,feature_value,is_open_ended,confidence,evidence_span,rationale,llm_model,chunk_idx,batch_id,call_timestamp
bluesky_1a78a6c6e128fa256b5206c0acd5c8ba37bd0b504021c6dce6c71f11b3ac7e63,fp,surface_lexical,informal_register_or_slang,Uses informal abbreviation and conversational phrasing.,False,0.93,"""NGL""","The abbreviation ""NGL"" and phrase ""I swear"" mark an informal social-media register.",gpt-5.5,3,fp/batch_0003,2026-07-16T03:50:07.652053+00:00
bluesky_1a78a6c6e128fa256b5206c0acd5c8ba37bd0b504021c6dce6c71f11b3ac7e63,fp,surface_lexical,named_proper_nouns_density,Multiple political proper nouns.,False,0.9,"""Trump and the GOP""","The post names Trump, the GOP, and the Second Amendment in the mirror.",gpt-5.5,3,fp/batch_0003,2026-07-16T03:50:07.652053+00:00
bluesky_1a78a6c6e128fa256b5206c0acd5c8ba37bd0b504021c6dce6c71f11b3ac7e63,fp,topic_subject,primary_policy_domain,guns and gun violence,False,0.98,"""victim of gun violence""","Both original and mirror center on guns, gun rights, and political violence.",gpt-5.5,3,fp/batch_0003,2026-07-16T03:50:07.652053+00:00
bluesky_1a78a6c6e128fa256b5206c0acd5c8ba37bd0b504021c6dce6c71f11b3ac7e63,fp,topic_subject,specific_event_or_bill_reference,assassination-attempt discourse around a president,False,0.95,"""assassination attempts""",The text explicitly references presidential assassination attempts.,gpt-5.5,3,fp/batch_0003,2026-07-16T03:50:07.652053+00:00
bluesky_1a78a6c6e128fa256b5206c0acd5c8ba37bd0b504021c6dce6c71f11b3ac7e63,fp,semantic_content,victimhood_or_persecution_framing,Speaker frames self or in-group as harmed or threatened.,False,0.95,"""a victim of gun violence""","The original identifies the speaker as a victim of gun violence, while the mirror describes rights being stripped.",gpt-5.5,3,fp/batch_0003,2026-07-16T03:50:07.652053+00:00
bluesky_1a78a6c6e128fa256b5206c0acd5c8ba37bd0b504021c6dce6c71f11b3ac7e63,fp,semantic_content,normative_moral_language,Moral condemnation of society or political actors.,False,0.91,"""society that worships guns""","Terms like ""worships guns,"" ""violent president,"" and ""hellbent"" convey moral judgment.",gpt-5.5,3,fp/batch_0003,2026-07-16T03:50:07.652053+00:00
bluesky_1a78a6c6e128fa256b5206c0acd5c8ba37bd0b504021c6dce6c71f11b3ac7e63,fp,pragmatics_intent,venting_or_expressive,Expresses emotional exhaustion and distress.,False,0.97,"""I'm frayed down to my last nerve tonight""",The speaker foregrounds their emotional state rather than only making a policy argument.,gpt-5.5,3,fp/batch_0003,2026-07-16T03:50:07.652053+00:00
bluesky_1a78a6c6e128fa256b5206c0acd5c8ba37bd0b504021c6dce6c71f11b3ac7e63,fp,pragmatics_intent,emphatic_outrage,Highly intensified emotional condemnation.,False,0.9,"""constant PTSD""","The phrase ""constant PTSD"" emphatically characterizes political life as traumatic.",gpt-5.5,3,fp/batch_0003,2026-07-16T03:50:07.652053+00:00
bluesky_1a78a6c6e128fa256b5206c0acd5c8ba37bd0b504021c6dce6c71f11b3ac7e63,fp,target_directionality,criticized_actor_type,politician and political party,False,0.97,"""Trump and the GOP""","The original criticizes Trump and the GOP, while the mirror criticizes the radical left.",gpt-5.5,3,fp/batch_0003,2026-07-16T03:50:07.652053+00:00
bluesky_1a78a6c6e128fa256b5206c0acd5c8ba37bd0b504021c6dce6c71f11b3ac7e63,fp,target_directionality,mirror_shift_direction,Original criticizes Trump/GOP and gun culture; mirror retargets blame to the left and rights-restriction claims.,False,0.96,"""radical left""",The mirrored version substitutes a left-wing target for the original right-wing target.,gpt-5.5,3,fp/batch_0003,2026-07-16T03:50:07.652053+00:00
bluesky_1b07759d34873be93924916adada578e2765d3f2a0abdc1919ff1d006cfea9aa,fp,surface_lexical,informal_register_or_slang,Informal abbreviations and colloquial expressions.,False,0.92,"""w/a lot of casualties""","The text uses ""w/"", ""yada yada,"" and casual phrasing.",gpt-5.5,3,fp/batch_0003,2026-07-16T03:50:07.652053+00:00
bluesky_1b07759d34873be93924916adada578e2765d3f2a0abdc1919ff1d006cfea9aa,fp,surface_lexical,profanity_or_taboo_language,Contains profanity.,False,0.92,"""bad shit""","The phrase ""bad shit"" is explicit profanity/taboo language.",gpt-5.5,3,fp/batch_0003,2026-07-16T03:50:07.652053+00:00
bluesky_1b07759d34873be93924916adada578e2765d3f2a0abdc1919ff1d006cfea9aa,fp,surface_lexical,named_proper_nouns_density,Named political figures appear.,False,0.87,"""Clyburn""; ""Biden""",The original names Clyburn and Biden.,gpt-5.5,3,fp/batch_0003,2026-07-16T03:50:07.652053+00:00
bluesky_1b07759d34873be93924916adada578e2765d3f2a0abdc1919ff1d006cfea9aa,fp,topic_subject,primary_policy_domain,"guns, crime, and public safety",False,0.96,"""mass shooting""","The original discusses mass shootings and guns, while the mirror shifts to crime and border policy.",gpt-5.5,3,fp/batch_0003,2026-07-16T03:50:07.652053+00:00
bluesky_1b07759d34873be93924916adada578e2765d3f2a0abdc1919ff1d006cfea9aa,fp,topic_subject,culture_war_topic_salience,"Crime, open borders, and soft-on-crime rhetoric.",False,0.9,"""border crisis""",The mirror invokes salient partisan culture-war issues around borders and crime.,gpt-5.5,3,fp/batch_0003,2026-07-16T03:50:07.652053+00:00
bluesky_1b07759d34873be93924916adada578e2765d3f2a0abdc1919ff1d006cfea9aa,fp,semantic_content,causal_claim_present,Claims policies cause harms.,False,0.92,"""their policies cause""",The mirror states that bad outcomes are caused by left policies.,gpt-5.5,3,fp/batch_0003,2026-07-16T03:50:07.652053+00:00
bluesky_1b07759d34873be93924916adada578e2765d3f2a0abdc1919ff1d006cfea9aa,fp,semantic_content,normative_moral_language,Condemns political failure.,False,0.91,"""Biden had ONE JOB & failed""",The post uses evaluative language to judge Biden as having failed.,gpt-5.5,3,fp/batch_0003,2026-07-16T03:50:07.652053+00:00
bluesky_1b07759d34873be93924916adada578e2765d3f2a0abdc1919ff1d006cfea9aa,fp,pragmatics_intent,persuasion_or_argumentation,Uses analogy to argue about timing and accountability.,False,0.93,"""This is like when""",The post develops an analogy to support its political point.,gpt-5.5,3,fp/batch_0003,2026-07-16T03:50:07.652053+00:00
