term,count,bucket
gun violence,46,tn
primary_policy_domain guns,36,tn
mirror_shift_direction mirror,30,tn
mirror shifts,27,tn
gun control,24,tn
approximate_token_length_band medium,22,tn
gun reform,22,tn
second amendment,20,tn
approximate_token_length_band short,17,tn
red flag,17,tn
guns gun,15,tn
flag laws,15,tn
gun safety,14,tn
assault weapon,14,tn
mirror_shift_direction original,14,tn
fossil fuel,13,tn
fossil fuels,13,tn
primary_policy_domain climate,12,tn
new deal,12,tn
causal_claim_present claims,12,tn
carbon emissions,11,tn
climate energy,10,tn
mirror frames,10,tn
persuasion_or_argumentation argues,10,tn
self defense,10,tn
open carry,10,tn
green new,9,tn
renewable energy,9,tn
gun bans,9,tn
criticized_actor_type political,8,tn
left_right_directional_cue explicit,8,tn
gun rights,8,tn
guns firearm,8,tn
law abiding,8,tn
gun laws,8,tn
background checks,8,tn
green party,8,tn
geographic_scope national,7,tn
shouldn executed,7,tn
factual_assertion_vs_speculation asserts,7,tn
gun owners,7,tn
economic_cost_benefit_framing mirror,6,tn
all caps,6,tn
approximate_token_length_band long,6,tn
contrastive_but_however_structure contrasts,6,tn
geographic_scope us,6,tn
named_proper_nouns_density named,6,tn
safety laws,6,tn
violence prevention,6,tn
fuel corporations,6,tn
climate crisis,6,tn
owner custodian,6,tn
bans don,6,tn
don work,6,tn
we need,6,tn
energy policy,5,tn
named_proper_nouns_density multiple,5,tn
left right,5,tn
get out,5,tn
out vote,5,tn
named_proper_nouns_density contains,5,tn
constitutional right,5,tn
united states,5,tn
about gun,5,tn
informal_register_or_slang informal,5,tn
geographic_scope us_state,5,tn
firearm regulation,5,tn
checks waiting,5,tn
waiting periods,5,tn
mass shootings,5,tn
you can,5,tn
us national,5,tn
all_caps_emphasis capitalized,5,tn
voter id,5,tn
us green,5,tn
climate policy,5,tn
gun policy,5,tn
legislature fails,5,tn
anti gun,5,tn
venting_or_expressive expresses,5,tn
normative_moral_language moral,5,tn
mental health,5,tn
public lands,5,tn
less money,5,tn
right wing,5,tn
reduced consumption,5,tn
mirror_shift_direction pro,4,tn
geographic_scope international,4,tn
contains named,4,tn
election day,4,tn
he will,4,tn
americans shouldn,4,tn
right bear,4,tn
bear arms,4,tn
national united,4,tn
holstered firearm,4,tn
how about,4,tn
protect all,4,tn
normative_moral_language frames,4,tn
illegalize guns,4,tn
republican admin,4,tn
new york,4,tn
causal_claim_present mirror,4,tn
assault weapons,4,tn
quote_or_attribution_embedding quoted,4,tn
abiding gun,4,tn
if there,4,tn
safety measures,4,tn
if you,4,tn
can prosecute,4,tn
outside us,4,tn
president biden,4,tn
multiple named,4,tn
capitalized emphasis,4,tn
real id,4,tn
id act,4,tn
election integrity,4,tn
force vote,4,tn
policy_prescription_present supports,4,tn
prevention gun,4,tn
frames gun,4,tn
policy_prescription_present lists,4,tn
abiding citizens,4,tn
gun ownership,4,tn
conditional_if_then_structure if,4,tn
they scream,4,tn
reduce carbon,4,tn
if legislature,4,tn
vra healthcare,4,tn
healthcare all,4,tn
informal_register_or_slang casual,4,tn
climate change,4,tn
carbon reduction,4,tn
social programs,4,tn
roe codification,4,tn
energy transition,4,tn
custodian firearm,4,tn
rich people,4,tn
economic actors,4,tn
well funded,4,tn
crooked gun,4,tn
gun dealers,4,tn
black youth,4,tn
future generations,4,tn
democrats want,4,tn
medicare all,4,tn
real carbon,3,tn
emissions target,3,tn
wind solar,3,tn
us rightwing,3,tn
all_caps_emphasis multiple,3,tn
complete total,3,tn
total endorsement,3,tn
under siege,3,tn
normative_moral_language strong,3,tn
will never,3,tn
never let,3,tn
let you,3,tn
you down,3,tn
assertion about,3,tn
firearm danger,3,tn
persuasion_or_argumentation uses,3,tn
amendment rights,3,tn
reform protect,3,tn
preferred policy,3,tn
rhetorical question,3,tn
pro gun,3,tn
under republican,3,tn
