term,count,bucket
gun control,61,tp
gun rights,56,tp
second amendment,33,tp
primary_policy_domain guns,30,tp
mirror_shift_direction mirror,30,tp
mirror shifts,30,tp
right wing,28,tp
gun reform,27,tp
open carry,23,tp
gun ban,21,tp
gun laws,20,tp
guns gun,18,tp
pro gun,17,tp
mirror_shift_direction original,16,tp
red flag,15,tp
flag laws,15,tp
radical left,13,tp
background checks,13,tp
all caps,12,tp
law abiding,11,tp
concealed carry,11,tp
gun violence,11,tp
global warming,11,tp
primary_policy_domain gun,11,tp
informal_register_or_slang informal,10,tp
ridicule_or_mockery mocks,10,tp
anti gun,10,tp
profanity_or_taboo_language uses,10,tp
causal_claim_present claims,10,tp
geographic_scope national,9,tp
primary_policy_domain climate,9,tp
factual_assertion_vs_speculation asserts,9,tp
charlie kirk,9,tp
approximate_token_length_band short,9,tp
abiding citizens,9,tp
approximate_token_length_band medium,9,tp
gun law,8,tp
rhetorical_question rhetorical,8,tp
rhetorical question,8,tp
caps emphasis,8,tp
green new,8,tp
new deal,8,tp
climate science,8,tp
amendment rights,8,tp
quote_or_attribution_embedding quoted,8,tp
original criticizes,8,tp
mirror criticizes,8,tp
carry reciprocity,8,tp
left_right_directional_cue critique,7,tp
anaphora_or_parallelism repeated,7,tp
all_caps_emphasis all,7,tp
sarcasm_or_irony sarcastic,7,tp
persuasion_or_argumentation argues,7,tp
black women,7,tp
climate alarmists,7,tp
gun safety,7,tp
gun lobby,7,tp
gun manufacturers,7,tp
criticized_actor_type right,6,tp
shifts blame,6,tp
left wing,6,tp
bringing back,6,tp
dangerous person,6,tp
claim about,6,tp
shootings gun,6,tp
usa democracy,6,tp
specific_event_or_bill_reference references,6,tp
climate denial,6,tp
we need,6,tp
child deaths,6,tp
women rights,6,tp
gun deaths,6,tp
moral condemnation,6,tp
school shootings,6,tp
school shooting,6,tp
profanity_or_taboo_language profanity,6,tp
rights supporters,6,tp
climate change,6,tp
criticized_actor_type gun,6,tp
david hogg,6,tp
gun policy,6,tp
vote green,6,tp
gender studies,6,tp
australia uk,5,tp
energy policy,5,tp
fossil fuel,5,tp
you all,5,tp
democracy humanity,5,tp
victimhood_or_persecution_framing children,5,tp
normative_moral_language condemns,5,tp
emphatic_outrage angry,5,tp
self defense,5,tp
black children,5,tp
normative_moral_language moral,5,tp
left_right_directional_cue anti,5,tp
2nd amendment,5,tp
nra gun,5,tp
white male,5,tp
all_caps_emphasis capitalized,5,tp
pro life,5,tp
anti left,5,tp
uvalde parkland,5,tp
factual_assertion_vs_speculation states,5,tp
national concealed,5,tp
control legislation,5,tp
you can,5,tp
maga mike,5,tp
greatest threat,5,tp
extreme views,5,tp
named_proper_nouns_density multiple,4,tp
proper nouns,4,tp
nra line,4,tp
why ain,4,tp
ain ya,4,tp
ya yanks,4,tp
rights gun,4,tp
laws gun,4,tp
renewable energy,4,tp
wing think,4,tp
think tanks,4,tp
normative_moral_language negative,4,tp
profanity_or_taboo_language mild,4,tp
culture war,4,tp
total disaster,4,tp
right aligned,4,tp
shifts anti,4,tp
dangerous people,4,tp
