term,count,bucket
mirror_shift_direction mirror,61,fn
mirror shifts,59,fn
gun control,45,fn
gun rights,33,fn
red flag,31,fn
primary_policy_domain guns,28,fn
background checks,27,fn
flag laws,27,fn
gun reform,26,fn
second amendment,24,fn
approximate_token_length_band medium,17,fn
gun laws,17,fn
renewable energy,17,fn
climate crisis,16,fn
persuasion_or_argumentation argues,15,fn
approximate_token_length_band short,15,fn
primary_policy_domain climate,14,fn
climate change,14,fn
fossil fuel,14,fn
factual_assertion_vs_speculation asserts,13,fn
paris agreement,13,fn
gun ban,13,fn
guns gun,12,fn
pro gun,11,fn
gun regulation,11,fn
fossil fuels,11,fn
assault weapons,10,fn
all caps,10,fn
checks red,10,fn
carbon tax,10,fn
data centers,10,fn
concealed carry,10,fn
climate energy,9,fn
gun safety,9,fn
gunned down,9,fn
gun policy,8,fn
anti gun,8,fn
climate agreement,8,fn
we want,8,fn
gun lobbies,8,fn
assault weapon,7,fn
common sense,7,fn
primary_policy_domain gun,7,fn
gun violence,7,fn
did nothing,7,fn
red hat,7,fn
shifts blame,6,fn
united states,6,fn
sense gun,6,fn
culture war,6,fn
negative evaluation,6,fn
we don,6,fn
shifts pro,6,fn
you your,6,fn
being gunned,6,fn
climate policy,6,fn
right wing,6,fn
shifts criticism,6,fn
informal_register_or_slang informal,6,fn
open borders,6,fn
paris climate,6,fn
oil gas,6,fn
stricter red,6,fn
petro mob,6,fn
mob states,6,fn
your goddamn,6,fn
regulation advocates,6,fn
social credit,6,fn
we need,6,fn
need constitution,6,fn
contrastive_but_however_structure contrast,5,fn
if only,5,fn
school shootings,5,fn
criticized original,5,fn
all_caps_emphasis all,5,fn
used emphasis,5,fn
named_proper_nouns_density multiple,5,fn
proper nouns,5,fn
when you,5,fn
ridicule_or_mockery mocking,5,fn
technical manual,5,fn
gun lunatics,5,fn
criticized_actor_type gun,5,fn
contrast between,5,fn
your kids,5,fn
kids being,5,fn
gun regulations,5,fn
constitutional rights,5,fn
trans americans,5,fn
people who,5,fn
ridicule_or_mockery mocks,5,fn
reform gun,5,fn
caps emphasis,5,fn
geographic_scope us_state,5,fn
everytown gun,5,fn
rights gun,5,fn
guns kill,5,fn
russia petro,5,fn
donald trump,5,fn
goddamn car,5,fn
safe homes,5,fn
cold dead,5,fn
dead hands,5,fn
smoke mirrors,5,fn
geographic_scope us,5,fn
house senate,5,fn
credit system,5,fn
control legislation,5,fn
your delusion,5,fn
energy policy,4,fn
if you,4,fn
clause followed,4,fn
only much,4,fn
much attention,4,fn
venting_or_expressive expresses,4,fn
normative_moral_language morally,4,fn
criticized mirror,4,fn
geographic_scope national,4,fn
profanity_or_taboo_language uses,4,fn
global warming,4,fn
biden worked,4,fn
anaphora_or_parallelism repeated,4,fn
tm card,4,fn
amendment gun,4,fn
normative_moral_language condemns,4,fn
emphatic_outrage angry,4,fn
checks waiting,4,fn
waiting periods,4,fn
own firearm,4,fn
second_person_direct_address direct,4,fn
who legally,4,fn
legally allowed,4,fn
then we,4,fn
geographic_scope international,4,fn
about gun,4,fn
solar wind,4,fn
green energy,4,fn
shifts praise,4,fn
safety action,4,fn
action fund,4,fn
abortion rights,4,fn
who paris,4,fn
international climate,4,fn
informal_register_or_slang casual,4,fn
if trump,4,fn
trump ended,4,fn
ended up,4,fn
ban assault,4,fn
disband nra,4,fn
mass deportation,4,fn
deportation campaign,4,fn
carbon emissions,4,fn
shouldn executed,4,fn
venting_or_expressive expressive,4,fn
wealth tax,4,fn
other racists,4,fn
electricity grid,4,fn
washington state,4,fn
every single,4,fn
single person,4,fn
white house,4,fn
house congress,4,fn
you drive,4,fn
safe schools,4,fn
want safe,4,fn
takes sit,4,fn
lib dem,4,fn
most gun,4,fn
advocates arguing,4,fn
military grade,4,fn
reform legislation,4,fn
senate republicans,4,fn
down everyday,4,fn
state policy,4,fn
energy sources,4,fn
corporate america,4,fn
china social,4,fn
trump thug,4,fn
taxed wealthy,4,fn
will cater,4,fn
cater your,4,fn
lead levels,4,fn
need action,4,fn
own part,3,fn
normative_moral_language accuses,3,fn
you deny,3,fn
political actors,3,fn
if clause,3,fn
attention paid,3,fn
shootings gun,3,fn
border security,3,fn
causal_claim_present claims,3,fn
shifts anti,3,fn
wing gun,3,fn
national united,3,fn
firearm deaths,3,fn
victimhood_or_persecution_framing children,3,fn
child gun,3,fn
who fuck,3,fn
fuck asking,3,fn
high_punctuation_intensity multiple,3,fn
political proper,3,fn
rhetorical question,3,fn
informal_register_or_slang ampersand,3,fn
financial benefit,3,fn
normative_moral_language criticizes,3,fn
they get,3,fn
shifts critique,3,fn
biden had,3,fn
green new,3,fn
new deal,3,fn
worked hard,3,fn
obama disappointment,3,fn
you combine,3,fn
gun grabs,3,fn
second person,3,fn
sarcasm_or_irony sarcastic,3,fn
manual 31,3,fn
31 210,3,fn
am very,3,fn
very pro,3,fn
informal_register_or_slang colloquial,3,fn
war tm,3,fn
bathrooms gun,3,fn
woke compliance,3,fn
lunatics think,3,fn
first amendment,3,fn
26 suburban,3,fn
suburban grade,3,fn
grade school,3,fn
school kids,3,fn
child deaths,3,fn
themselves but,3,fn
but you,3,fn
periods firearm,3,fn
firearm registries,3,fn
nra gun,3,fn
list_or_enumeration enumeration,3,fn
fellow trans,3,fn
acquire gun,3,fn
healthy innocent,3,fn
require fund,3,fn
don even,3,fn
even enforce,3,fn
laws we,3,fn
illegal gun,3,fn
violent crimes,3,fn
allowed have,3,fn
have them,3,fn
named political,3,fn
trump gutted,3,fn
gutted epa,3,fn
epa has,3,fn
has withdrawn,3,fn
withdrawn paris,3,fn
about climate,3,fn
hogg pos,3,fn
he wouldn,3,fn
rw crazies,3,fn
primary_policy_domain energy,3,fn
multiple exclamation,3,fn
exclamation marks,3,fn
congressional candidates,3,fn
preventable violence,3,fn
policy_prescription_present advocates,3,fn
sensible gun,3,fn
all fucked,3,fn
we re,3,fn
would hilarious,3,fn
biden green,3,fn
maga republican,3,fn
causal_claim_present gun,3,fn
petro states,3,fn
universal background,3,fn
trump mass,3,fn
80 increase,3,fn
normative_moral_language negative,3,fn
criticized_actor_type politician,3,fn
constitutional right,3,fn
claim about,3,fn
oh god,3,fn
god yes,3,fn
energy plans,3,fn
expressive frustration,3,fn
fucking up,3,fn
anti renewable,3,fn
radical environmentalists,3,fn
disability benefit,3,fn
put implement,3,fn
implement fund,3,fn
fund invest,3,fn
invest disentangle,3,fn
like how,3,fn
how some,3,fn
some states,3,fn
states do,3,fn
do gun,3,fn
hat gang,3,fn
gang other,3,fn
california washington,3,fn
trans queer,3,fn
car you,3,fn
keep up,3,fn
minnesota democrats,3,fn
want gun,3,fn
my guns,3,fn
dem gun,3,fn
ban guns,3,fn
stop killing,3,fn
control argument,3,fn
republican gun,3,fn
god stupid,3,fn
licensing background,3,fn
arguing abolition,3,fn
grade weapons,3,fn
us national,3,fn
carry license,3,fn
carry licensing,3,fn
haven taken,3,fn
taken single,3,fn
single test,3,fn
test but,3,fn
but can,3,fn
can carry,3,fn
buying shotguns,3,fn
dogs buying,3,fn
thrown out,3,fn
gun profiteers,3,fn
us children,3,fn
children nationwide,3,fn
sources desalination,3,fn
desalination plants,3,fn
using renewable,3,fn
screening systems,3,fn
fascism problem,3,fn
only take,3,fn
take guns,3,fn
bill clinton,3,fn
clinton taxed,3,fn
violence reduction,3,fn
armed society,3,fn
agreement paris,3,fn
global momentum,3,fn
act now,3,fn
climate action,3,fn
policy climate,2,fn
evidence climate,2,fn
climate harms,2,fn
over 50,2,fn
50 years,2,fn
years ago,2,fn
rather than,2,fn
oil companies,2,fn
deny your,2,fn
your own,2,fn
pushing green,2,fn
conditional_if_then_structure if,2,fn
but if,2,fn
school security,2,fn
security after,2,fn
frustration about,2,fn
shifts issue,2,fn
counterfactual if,2,fn
one needs,2,fn
needs assault,2,fn
guns assault,2,fn
culture_war_topic_salience gun,2,fn
policy_prescription_present opposes,2,fn
rights critique,2,fn
left obsession,2,fn
child safety,2,fn
sexual abuse,2,fn
gun deaths,2,fn
claims about,2,fn
about child,2,fn
children teens,2,fn
framed victims,2,fn
thank republican,2,fn
original democrats,2,fn
