term,count,bucket
gun control,82,fp
gun rights,71,fp
mirror_shift_direction mirror,71,fp
gun laws,66,fp
mirror shifts,65,fp
second amendment,62,fp
primary_policy_domain guns,43,fp
gun reform,39,fp
mirror_shift_direction original,39,fp
climate change,36,fp
primary_policy_domain gun,28,fp
approximate_token_length_band medium,27,fp
red flag,27,fp
flag laws,26,fp
fossil fuels,25,fp
causal_claim_present claims,23,fp
primary_policy_domain climate,22,fp
geographic_scope national,22,fp
gun policy,20,fp
informal_register_or_slang informal,20,fp
fossil fuel,20,fp
ridicule_or_mockery mocks,19,fp
gun violence,19,fp
mass shooting,19,fp
mirror criticizes,17,fp
shifts blame,17,fp
gun safety,17,fp
open borders,17,fp
guns gun,16,fp
all caps,16,fp
persuasion_or_argumentation argues,16,fp
trump gop,16,fp
united states,15,fp
pro gun,14,fp
right wing,14,fp
moral condemnation,14,fp
original criticizes,13,fp
anti gun,13,fp
normative_moral_language moral,13,fp
claim about,13,fp
assault weapon,13,fp
climate policy,12,fp
persuasion_or_argumentation uses,12,fp
approximate_token_length_band short,12,fp
normative_moral_language condemns,12,fp
political party,12,fp
left wing,12,fp
factual_assertion_vs_speculation assertive,12,fp
mental health,12,fp
factual_assertion_vs_speculation asserts,12,fp
climate alarmists,11,fp
named political,11,fp
climate science,11,fp
global warming,11,fp
criticized_actor_type criticizes,11,fp
control advocates,10,fp
rhetorical question,10,fp
venting_or_expressive expresses,10,fp
normative_moral_language strong,10,fp
shifts criticism,10,fp
list_or_enumeration enumerates,10,fp
guns second,10,fp
rights over,10,fp
green energy,10,fp
anaphora_or_parallelism repeated,10,fp
laws gun,10,fp
amendment rights,10,fp
if you,10,fp
public safety,10,fp
original targets,10,fp
open carry,10,fp
geographic_scope us,9,fp
2nd amendment,9,fp
solar wind,9,fp
climate action,9,fp
political actors,9,fp
assertive claim,9,fp
gun law,9,fp
sensible gun,9,fp
assassination attempt,9,fp
we have,9,fp
mirror targets,9,fp
federal gun,9,fp
fuel industry,9,fp
gun ownership,8,fp
would have,8,fp
conditional_if_then_structure if,8,fp
border security,8,fp
people who,8,fp
policy_prescription_present advocates,8,fp
law abiding,8,fp
mirror frames,8,fp
geographic_scope international,8,fp
proper nouns,8,fp
criticized_actor_type political,8,fp
san diego,8,fp
specific_event_or_bill_reference references,8,fp
named_proper_nouns_density named,8,fp
national united,8,fp
immigration enforcement,8,fp
assault weapons,8,fp
donald trump,8,fp
change climate,7,fp
informal_register_or_slang uses,7,fp
exclamation marks,7,fp
informal_register_or_slang casual,7,fp
emphatic_outrage strong,7,fp
victimhood_or_persecution_framing frames,7,fp
energy sources,7,fp
shooting gun,7,fp
islamic center,7,fp
all_caps_emphasis all,7,fp
informal_register_or_slang colloquial,7,fp
policy opponents,7,fp
jim brady,7,fp
ridicule_or_mockery mocking,7,fp
gun ban,7,fp
common sense,7,fp
sense gun,7,fp
republican president,7,fp
contrast between,7,fp
congressional republicans,7,fp
rights advocates,7,fp
criticized_actor_type politician,7,fp
political outgroup,7,fp
he would,7,fp
named_proper_nouns_density dense,7,fp
rights gun,7,fp
fascist government,7,fp
background checks,7,fp
voting rights,7,fp
economic_cost_benefit_framing frames,6,fp
we need,6,fp
shifts pro,6,fp
rhetorical_question question,6,fp
strict gun,6,fp
caps emphasis,6,fp
culture war,6,fp
criticizes gun,6,fp
sarcasm_or_irony sarcastic,6,fp
we can,6,fp
wing media,6,fp
about gun,6,fp
fox news,6,fp
second_person_direct_address directly,6,fp
directly addresses,6,fp
radical leftist,6,fp
anti democrat,6,fp
emphatic_outrage forceful,6,fp
brady reagan,6,fp
they have,6,fp
direct address,6,fp
if then,6,fp
original anti,6,fp
shifts anti,6,fp
control legislation,6,fp
school shooting,6,fp
more guns,6,fp
criticized_actor_type gun,6,fp
profanity_or_taboo_language uses,6,fp
uses profanity,6,fp
contrastive_but_however_structure contrast,6,fp
capitalism billionaires,6,fp
mirror retargets,6,fp
green new,6,fp
new deal,6,fp
biden dems,6,fp
self protection,6,fp
shooting survivors,6,fp
gun nuts,6,fp
control gun,5,fp
stricter gun,5,fp
criticized_actor_type original,5,fp
policy climate,5,fp
rhetorical_question rhetorical,5,fp
policy_prescription_present calls,5,fp
profanity_or_taboo_language contains,5,fp
high_punctuation_intensity multiple,5,fp
climate alarmism,5,fp
republican party,5,fp
change hoax,5,fp
weak gun,5,fp
save lives,5,fp
fuels fracking,5,fp
energy policy,5,fp
abiding citizens,5,fp
republicans democrats,5,fp
economic_cost_benefit_framing mirror,5,fp
criticized_actor_type mirror,5,fp
named_proper_nouns_density multiple,5,fp
specific_event_or_bill_reference specific,5,fp
care about,5,fp
shifts target,5,fp
birth rates,5,fp
policy_prescription_present supports,5,fp
health care,5,fp
control laws,5,fp
criticized_actor_type republican,5,fp
climate activist,5,fp
second_person_direct_address direct,5,fp
anti republican,5,fp
concealed carry,5,fp
quote_or_attribution_embedding embedded,5,fp
conversational style,5,fp
emphatic_outrage angry,5,fp
you did,5,fp
last resort,5,fp
fuels capitalism,5,fp
strictest gun,5,fp
us states,5,fp
gun deaths,5,fp
laws have,5,fp
if he,5,fp
gun lobby,5,fp
advocates gun,5,fp
universal healthcare,5,fp
dead children,5,fp
profanity fucking,5,fp
ice agents,5,fp
negative moral,5,fp
bans instruments,5,fp
instruments self,5,fp
your sworn,5,fp
sworn duty,5,fp
return fire,5,fp
maga cult,5,fp
maga trump,5,fp
control act,5,fp
act 1968,5,fp
get dems,5,fp
dems stop,5,fp
laws banning,5,fp
you think,5,fp
gun legislation,5,fp
racist framework,5,fp
term limits,5,fp
gop evangelicals,5,fp
kyle rittenhouse,5,fp
first nations,5,fp
anti women,5,fp
average wisconsinite,4,fp
wisconsinite hunter,4,fp
us national,4,fp
structure if,4,fp
conversational phrasing,4,fp
climate politics,4,fp
question used,4,fp
normative_moral_language negative,4,fp
demand gun,4,fp
contains profanity,4,fp
multiple exclamation,4,fp
expresses frustration,4,fp
violence gun,4,fp
stronger gun,4,fp
factual_assertion_vs_speculation presents,4,fp
anaphora_or_parallelism parallel,4,fp
armed nation,4,fp
nra gun,4,fp
firearm access,4,fp
convicted felons,4,fp
climate plans,4,fp
mn gop,4,fp
named_proper_nouns_density several,4,fp
center san,4,fp
political figure,4,fp
left_right_directional_cue explicit,4,fp
normative_moral_language moralized,4,fp
your children,4,fp
