post_id,confusion_bucket,category,feature_name,feature_value,is_open_ended,confidence,evidence_span,rationale,llm_model,chunk_idx,batch_id,call_timestamp
bluesky_00627d49ea1498f0fab3e0f3a2b1caf677064b7d76c8d1154d353446a2500bf5,fn,surface_lexical,approximate_token_length_band,medium,False,0.9,I will admit my own part in the climate crisis,The post is a multi-sentence paragraph of moderate length.,gpt-5.5,0,fn/batch_0000,2026-07-16T04:03:29.535499+00:00
bluesky_00627d49ea1498f0fab3e0f3a2b1caf677064b7d76c8d1154d353446a2500bf5,fn,topic_subject,primary_policy_domain,climate and energy policy,False,0.98,the climate crisis,The original text centers on climate crisis responsibility and oil companies.,gpt-5.5,0,fn/batch_0000,2026-07-16T04:03:29.535499+00:00
bluesky_00627d49ea1498f0fab3e0f3a2b1caf677064b7d76c8d1154d353446a2500bf5,fn,topic_subject,historical_analogy_reference,historical evidence of climate harms decades earlier,False,0.91,over 50 years ago,The post invokes past evidence from decades ago to frame present responsibility.,gpt-5.5,0,fn/batch_0000,2026-07-16T04:03:29.535499+00:00
bluesky_00627d49ea1498f0fab3e0f3a2b1caf677064b7d76c8d1154d353446a2500bf5,fn,semantic_content,factual_assertion_vs_speculation,asserts that evidence existed decades ago,False,0.95,They had evidence over 50 years ago that it would happen,The text makes a factual claim about prior evidence.,gpt-5.5,0,fn/batch_0000,2026-07-16T04:03:29.535499+00:00
bluesky_00627d49ea1498f0fab3e0f3a2b1caf677064b7d76c8d1154d353446a2500bf5,fn,semantic_content,normative_moral_language,accuses denial or blame-shifting as dishonest,False,0.9,you are lying to yourself,The phrase morally evaluates the addressee as self-deceptive.,gpt-5.5,0,fn/batch_0000,2026-07-16T04:03:29.535499+00:00
bluesky_00627d49ea1498f0fab3e0f3a2b1caf677064b7d76c8d1154d353446a2500bf5,fn,pragmatics_intent,persuasion_or_argumentation,argues for shared responsibility rather than sole blame on oil companies,False,0.89,if you deny your own part in it,The post presents an argumentative qualification about responsibility.,gpt-5.5,0,fn/batch_0000,2026-07-16T04:03:29.535499+00:00
bluesky_00627d49ea1498f0fab3e0f3a2b1caf677064b7d76c8d1154d353446a2500bf5,fn,target_directionality,criticized_actor_type,industry actors and oil companies criticized,False,0.92,industrial stooges,The original criticizes industrial participants and oil companies.,gpt-5.5,0,fn/batch_0000,2026-07-16T04:03:29.535499+00:00
bluesky_00627d49ea1498f0fab3e0f3a2b1caf677064b7d76c8d1154d353446a2500bf5,fn,target_directionality,mirror_shift_direction,mirror shifts blame from industrial/oil actors to government and green-agenda political actors,False,0.95,political stooges pushing green agendas,The mirror retargets culpability from fossil-fuel industry actors to pro-green political actors.,gpt-5.5,0,fn/batch_0000,2026-07-16T04:03:29.535499+00:00
bluesky_00627d49ea1498f0fab3e0f3a2b1caf677064b7d76c8d1154d353446a2500bf5,fn,compositional_syntax,conditional_if_then_structure,if-clause followed by evaluative consequence,False,0.96,"But, if you deny your own part in it",The sentence uses an explicit conditional structure.,gpt-5.5,0,fn/batch_0000,2026-07-16T04:03:29.535499+00:00
bluesky_00627d49ea1498f0fab3e0f3a2b1caf677064b7d76c8d1154d353446a2500bf5,fn,compositional_syntax,contrastive_but_however_structure,contrast introduced by But,False,0.94,"But, if you deny",The post contrasts admission of responsibility with denial of responsibility.,gpt-5.5,0,fn/batch_0000,2026-07-16T04:03:29.535499+00:00
