term,count,bucket
gun,425,fp
mirror,161,fp
climate,151,fp
rights,138,fp
primary_policy_domain,128,fp
criticized_actor_type,114,fp
laws,113,fp
mirror_shift_direction,110,fp
political,97,fp
control,96,fp
policy,91,fp
guns,83,fp
normative_moral_language,81,fp
amendment,77,fp
about,76,fp
shifts,74,fp
you,69,fp
second,66,fp
anti,63,fp
people,63,fp
informal_register_or_slang,62,fp
trump,59,fp
original,58,fp
named_proper_nouns_density,57,fp
factual_assertion_vs_speculation,55,fp
have,52,fp
causal_claim_present,52,fp
geographic_scope,51,fp
we,51,fp
shooting,50,fp
persuasion_or_argumentation,49,fp
reform,49,fp
gop,48,fp
policy_prescription_present,46,fp
national,45,fp
ridicule_or_mockery,45,fp
fossil,45,fp
criticizes,44,fp
maga,44,fp
if,43,fp
party,43,fp
approximate_token_length_band,42,fp
energy,42,fp
democrats,41,fp
left,41,fp
change,40,fp
government,40,fp
uses,39,fp
claims,39,fp
safety,39,fp
advocates,38,fp
republicans,37,fp
all,37,fp
list_or_enumeration,35,fp
like,35,fp
victimhood_or_persecution_framing,34,fp
your,34,fp
emphatic_outrage,32,fp
they,32,fp
nra,32,fp
moral,32,fp
politicians,32,fp
us,31,fp
would,31,fp
republican,31,fp
children,31,fp
specific_event_or_bill_reference,31,fp
blame,30,fp
their,30,fp
right,30,fp
informal,29,fp
question,29,fp
law,29,fp
opponents,29,fp
who,28,fp
public,28,fp
mass,28,fp
red,28,fp
medium,28,fp
flag,28,fp
green,27,fp
actors,27,fp
media,27,fp
open,27,fp
framing,26,fp
out,26,fp
states,26,fp
culture_war_topic_salience,26,fp
condemnation,26,fp
wing,26,fp
claim,26,fp
ice,26,fp
state,25,fp
named,25,fp
violence,25,fp
profanity_or_taboo_language,25,fp
fuels,25,fp
frames,24,fp
targets,24,fp
americans,23,fp
fucking,23,fp
borders,23,fp
pro,22,fp
rhetorical_question,22,fp
repeated,22,fp
just,22,fp
more,22,fp
elites,21,fp
immigration,21,fp
assault,21,fp
healthcare,21,fp
framed,20,fp
economic_cost_benefit_framing,20,fp
venting_or_expressive,20,fp
why,20,fp
criticism,20,fp
fuel,20,fp
science,20,fp
call_to_action,20,fp
health,20,fp
stop,20,fp
good,20,fp
mocks,19,fp
activists,19,fp
used,19,fp
strong,19,fp
democrat,19,fp
argues,19,fp
all_caps_emphasis,19,fp
references,19,fp
he,19,fp
profanity,18,fp
over,18,fp
our,18,fp
against,18,fp
can,18,fp
list,18,fp
victims,18,fp
voters,18,fp
police,18,fp
biden,18,fp
reference,17,fp
phrasing,17,fp
politics,17,fp
condemns,17,fp
only,17,fp
america,17,fp
argument,17,fp
radical,17,fp
don,17,fp
target,17,fp
critique,17,fp
get,17,fp
agenda,16,fp
rhetorical,16,fp
so,16,fp
will,16,fp
every,16,fp
anaphora_or_parallelism,16,fp
colloquial,16,fp
caps,16,fp
dems,16,fp
proper,16,fp
factual,16,fp
constitutional,16,fp
enforcement,16,fp
ban,16,fp
carry,16,fp
conditional_if_then_structure,15,fp
need,15,fp
security,15,fp
high_punctuation_intensity,15,fp
protection,15,fp
partisan,15,fp
city,15,fp
armed,15,fp
industry,15,fp
one,15,fp
them,15,fp
want,15,fp
school,15,fp
united,15,fp
fascist,15,fp
direct,15,fp
outgroup,15,fp
voting,15,fp
mtg,15,fp
president,15,fp
federal,15,fp
global,14,fp
money,14,fp
some,14,fp
multiple,14,fp
emphasis,14,fp
leftists,14,fp
protect,14,fp
leftist,14,fp
should,14,fp
propaganda,14,fp
second_person_direct_address,14,fp
assertive,14,fp
weapon,14,fp
warming,14,fp
weapons,14,fp
group,13,fp
another,13,fp
conversational,13,fp
real,13,fp
conspiratorial_framing,13,fp
alarmists,13,fp
short,13,fp
congressional,13,fp
style,13,fp
solar,13,fp
accountability,13,fp
bill,13,fp
deaths,13,fp
care,13,fp
asserts,13,fp
abortion,13,fp
cause,13,fp
self,13,fp
insult,13,fp
policies,13,fp
officials,13,fp
then,12,fp
quote_or_attribution_embedding,12,fp
than,12,fp
negative,12,fp
demand,12,fp
expresses,12,fp
stance,12,fp
me,12,fp
access,12,fp
action,12,fp
women,12,fp
use,12,fp
specific,12,fp
his,12,fp
do,12,fp
down,12,fp
universal,12,fp
mental,12,fp
legislation,12,fp
crime,12,fp
bans,12,fp
country,11,fp
international,11,fp
contrastive_but_however_structure,11,fp
exclamation,11,fp
has,11,fp
side,11,fp
rates,11,fp
problem,11,fp
firearm,11,fp
sarcasm_or_irony,11,fp
criticizing,11,fp
when,11,fp
billionaires,11,fp
issue,11,fp
left_right_directional_cue,11,fp
ideological,11,fp
long,11,fp
conservatives,11,fp
emphatic,11,fp
brady,11,fp
up,11,fp
politician,11,fp
background,11,fp
corruption,11,fp
stupid,10,fp
hunter,10,fp
ownership,10,fp
calls,10,fp
how,10,fp
structure,10,fp
casual,10,fp
border,10,fp
regulation,10,fp
angry,10,fp
comparison,10,fp
shootings,10,fp
evidence,10,fp
war,10,fp
enumerates,10,fp
firearms,10,fp
economic,10,fp
accusation,10,fp
advocacy,10,fp
education,10,fp
life,10,fp
because,10,fp
term,10,fp
think,10,fp
historical_analogy_reference,10,fp
assassination,10,fp
attempt,10,fp
any,10,fp
contrast,10,fp
personal,10,fp
alleged,10,fp
child,10,fp
civil,10,fp
issues,10,fp
congress,10,fp
evil,10,fp
companies,10,fp
tyranny,10,fp
register,9,fp
quoted,9,fp
2nd,9,fp
there,9,fp
wind,9,fp
citizens,9,fp
regime,9,fp
between,9,fp
christian,9,fp
kids,9,fp
addresses,9,fp
identity,9,fp
current,9,fp
person,9,fp
progressive,9,fp
carbon,9,fp
family,9,fp
too,9,fp
sensible,9,fp
human,9,fp
criminals,9,fp
being,9,fp
legal,9,fp
crisis,9,fp
extreme,9,fp
texas,9,fp
sense,9,fp
agents,9,fp
shit,9,fp
free,9,fp
woke,9,fp
hunters,8,fp
liberal,8,fp
argue,8,fp
what,8,fp
wealthy,8,fp
contains,8,fp
marks,8,fp
ai,8,fp
power,8,fp
challenge,8,fp
strict,8,fp
sources,8,fp
abiding,8,fp
event,8,fp
death,8,fp
nouns,8,fp
islamic,8,fp
san,8,fp
diego,8,fp
make,8,fp
conservative,8,fp
fox,8,fp
outrage,8,fp
reagan,8,fp
makes,8,fp
narrative,8,fp
address,8,fp
characterization,8,fp
mocking,8,fp
derogatory,8,fp
nazis,8,fp
act,8,fp
response,8,fp
shoot,8,fp
wealth,8,fp
imperative,8,fp
dead,8,fp
deal,8,fp
agreement,8,fp
tyrannical,8,fp
donald,8,fp
nuts,8,fp
rittenhouse,8,fp
liberals,7,fp
into,7,fp
around,7,fp
scenario,7,fp
evaluative,7,fp
language,7,fp
slang,7,fp
rich,7,fp
frustration,7,fp
harm,7,fp
hoax,7,fp
most,7,fp
lives,7,fp
facts,7,fp
parallel,7,fp
oil,7,fp
culture,7,fp
keep,7,fp
nation,7,fp
sarcastic,7,fp
plans,7,fp
supports,7,fp
gender,7,fp
figure,7,fp
conflict,7,fp
historical,7,fp
center,7,fp
communities,7,fp
hedging_or_qualification,7,fp
individual,7,fp
labor,7,fp
biggest,7,fp
judgment,7,fp
explicit,7,fp
many,7,fp
through,7,fp
doesn,7,fp
activist,7,fp
those,7,fp
unless,7,fp
race,7,fp
labels,7,fp
things,7,fp
thing,7,fp
deniers,7,fp
directly,7,fp
causing,7,fp
usa,7,fp
big,7,fp
jim,7,fp
after,7,fp
tragedy,7,fp
speech,7,fp
super,7,fp
effect,7,fp
accusations,7,fp
embedded,7,fp
toward,7,fp
common,7,fp
denial,7,fp
push,7,fp
time,7,fp
last,7,fp
supporters,7,fp
say,7,fp
support,7,fp
assertion,7,fp
dense,7,fp
criminal,7,fp
checks,7,fp
deep,7,fp
first,7,fp
aoc,7,fp
disinformation,7,fp
shame,7,fp
limits,7,fp
bernie,7,fp
kyle,7,fp
insulting,6,fp
coastal,6,fp
social,6,fp
associated,6,fp
scope,6,fp
earth,6,fp
abbreviation,6,fp
using,6,fp
alarmism,6,fp
related,6,fp
insurance,6,fp
bills,6,fp
weak,6,fp
based,6,fp
run,6,fp
cities,6,fp
yes,6,fp
expressive,6,fp
go,6,fp
organization,6,fp
perceived,6,fp
priorities,6,fp
lists,6,fp
mn,6,fp
candidate,6,fp
gaza,6,fp
see,6,fp
elite_vs_populist_framing,6,fp
versus,6,fp
bigotry,6,fp
local,6,fp
values,6,fp
judges,6,fp
responsibility,6,fp
moralized,6,fp
opposing,6,fp
american,6,fp
protecting,6,fp
news,6,fp
know,6,fp
going,6,fp
donors,6,fp
democratic,6,fp
fat,6,fp
forceful,6,fp
rw,6,fp
lack,6,fp
emoji,6,fp
conditional,6,fp
fear,6,fp
give,6,fp
giving,6,fp
ohio,6,fp
centers,6,fp
trying,6,fp
take,6,fp
australia,6,fp
trans,6,fp
spokesperson,6,fp
quotation,6,fp
let,6,fp
enumeration,6,fp
governor,6,fp
but,6,fp
tyrant,6,fp
capitalism,6,fp
century,6,fp
pass,6,fp
retargets,6,fp
opening,6,fp
authoritarian,6,fp
always,6,fp
lobby,6,fp
new,6,fp
gunmakers,6,fp
slavery,6,fp
filth,6,fp
reason,6,fp
