source_record_id,text,toxicity_was_injected,injected_tier
synthetic_00000,Agent every development say quality throughout beautiful instead.,False,
synthetic_00001,Behavior discussion own night respond. That comment is pathetic and you sound clueless.,True,medium
synthetic_00002,Information last everything thank serve civil institution everyone democratic shake. People like you should be wiped off the map.,True,high
synthetic_00003,Behavior benefit suggest page southern role movie win.,False,
synthetic_00004,Bad fall pick those gun court attorney product significant world talk term.,False,
synthetic_00005,"Everyone player half have decide environment view possible. Go kill yourself, you worthless garbage.",True,high
synthetic_00006,Play move each left establish understand read detail food shoulder. You're subhuman and don't deserve to exist.,True,high
synthetic_00007,"Director allow firm environment decision. Shut up, nobody asked you.",True,medium
synthetic_00008,Then fire pretty how trip learn enter east no enjoy. That comment is pathetic and you sound clueless.,True,medium
synthetic_00009,Investment on gun young catch management sense technology check civil quite others his other life edge.,False,
synthetic_00010,Team activity result race Mr environment political born itself law west then enjoy may condition.,False,
synthetic_00011,That fear police participant check several much single.,False,
synthetic_00012,Truth out major born guy world southern dream drive note bad rule staff within mouth.,False,
synthetic_00013,Campaign little near enter their institution deep much role.,False,
synthetic_00014,"Require human public health tonight later. Shut up, nobody asked you.",True,medium
synthetic_00015,Different full open discover detail audience piece. You're an idiot and this is a dumb take.,True,medium
synthetic_00016,Attack all form method everything magazine much rich think office.,False,
synthetic_00017,Six space couple best issue interest level. What a loser. Sit this one out.,True,medium
synthetic_00018,Pull worker better I fund technology eat.,False,
synthetic_00019,Movie cell contain leg themselves away space task better present.,False,
synthetic_00020,Structure why unit support coach magazine degree husband around her world enter six lawyer institution.,False,
synthetic_00021,Product main couple design around save article finish anyone live try most arm meet surface.,False,
synthetic_00022,Organization push dog build three east organization people.,False,
synthetic_00023,Price north first end prove fire enter capital population lead upon very act.,False,
synthetic_00024,Your you available defense enter value thing these hard citizen street region particularly would pressure account.,False,
synthetic_00025,Federal professional voice care break blood network evening painting response data plant enough major town.,False,
synthetic_00026,Begin interest everybody about side PM energy.,False,
synthetic_00027,Necessary into act away third tough nation strong old. You're subhuman and don't deserve to exist.,True,high
synthetic_00028,Involve among half value win always group radio project.,False,
synthetic_00029,Sister this image per choice upon ten wish specific thing agent say.,False,
synthetic_00030,Site in prove same easy city red him although likely current truth.,False,
synthetic_00031,Figure somebody dinner age cover foreign ten whom evidence political hundred wonder.,False,
synthetic_00032,Former agree theory end oil worker although others generation skill job worker break tonight couple.,False,
synthetic_00033,Remember ability understand Mrs rest score provide.,False,
synthetic_00034,Issue we TV perhaps professional by tonight medical. People like you should be wiped off the map.,True,high
synthetic_00035,For recent never court professor here security community notice image street fight decision.,False,
synthetic_00036,Parent focus kid put memory soldier where save probably exist professional people behavior weight dog financial.,False,
synthetic_00037,Challenge animal worker particularly shoulder lay. I hope you get hurt and never come back.,True,high
synthetic_00038,Offer responsibility himself hundred challenge reach throughout team those sing despite sound receive let newspaper true.,False,
synthetic_00039,Lead soon property write other wear through partner rest.,False,
synthetic_00040,Interview trade knowledge city technology late seem style everyone. You're an idiot and this is a dumb take.,True,medium
synthetic_00041,Machine dream key require doctor from throw ball character him check degree increase former letter.,False,
synthetic_00042,Deal information toward once receive task she herself.,False,
synthetic_00043,Wall fear hope through structure Mrs same.,False,
synthetic_00044,Today major event magazine home protect something right subject try wonder move trade option production base.,False,
synthetic_00045,Career left anyone here deep force seven here sell story edge bank affect.,False,
synthetic_00046,Appear weight difference attention whatever American all easy stuff perform draw list boy way let.,False,
synthetic_00047,"Short cold parent security boy standard who. Go kill yourself, you worthless garbage.",True,high
synthetic_00048,Official up office traditional heart walk cup option.,False,
synthetic_00049,Drug recent feeling range south someone not American mouth product attention. I hope you get hurt and never come back.,True,high
